season,player_name,position,team,mvp_winner
2024,Josh Allen,QB,Buffalo Bills,1
2023,Lamar Jackson,QB,Baltimore Ravens,1
2022,Patrick Mahomes,QB,Kansas City Chiefs,1
2021,Aaron Rodgers,QB,Green Bay Packers,1
2020,Aaron Rodgers,QB,Green Bay Packers,1
2019,Lamar Jackson,QB,Baltimore Ravens,1
2018,Patrick Mahomes,QB,Kansas City Chiefs,1
2017,Tom Brady,QB,New England Patriots,1
2016,Matt Ryan,QB,Atlanta Falcons,1
2015,Cam Newton,QB,Carolina Panthers,1
2014,Aaron Rodgers,QB,Green Bay Packers,1
2013,Peyton Manning,QB,Denver Broncos,1
2012,Adrian Peterson,RB,Minnesota Vikings,1
2011,Aaron Rodgers,QB,Green Bay Packers,1
2010,Tom Brady,QB,New England Patriots,1
2009,Peyton Manning,QB,Indianapolis Colts,1
2008,Peyton Manning,QB,Indianapolis Colts,1
2007,Tom Brady,QB,New England Patriots,1
2006,LaDainian Tomlinson,RB,San Diego Chargers,1
2005,Shaun Alexander,RB,Seattle Seahawks,1
2004,Peyton Manning,QB,Indianapolis Colts,1
2003,Steve McNair,QB,Tennessee Titans,1
2003,Peyton Manning,QB,Indianapolis Colts,1
2002,Rich Gannon,QB,Oakland Raiders,1
2001,Kurt Warner,QB,St. Louis Rams,1
2000,Marshall Faulk,RB,St. Louis Rams,1
1999,Kurt Warner,QB,St. Louis Rams,1
1998,Terrell Davis,RB,Denver Broncos,1
1997,Barry Sanders,RB,Detroit Lions,1
1997,Brett Favre,QB,Green Bay Packers,1
1996,Brett Favre,QB,Green Bay Packers,1
1995,Brett Favre,QB,Green Bay Packers,1
1994,Steve Young,QB,San Francisco 49ers,1
1993,Emmitt Smith,RB,Dallas Cowboys,1
1992,Steve Young,QB,San Francisco 49ers,1
1991,Thurman Thomas,RB,Buffalo Bills,1
1990,Joe Montana,QB,San Francisco 49ers,1
1989,Joe Montana,QB,San Francisco 49ers,1
1988,Boomer Esiason,QB,Cincinnati Bengals,1
1987,John Elway,QB,Denver Broncos,1
1986,Lawrence Taylor,ROLB,New York Giants,1
1985,Marcus Allen,RB,Los Angeles Raiders,1
1984,Dan Marino,QB,Miami Dolphins,1
1983,Joe Theismann,QB,Washington Redskins,1
1982,Mark Moseley,K,Washington Redskins,1
1981,Ken Anderson,QB,Cincinnati Bengals,1
1980,Brian Sipe,QB,Cleveland Browns,1
1979,Earl Campbell,RB,Houston Oilers,1
1978,Terry Bradshaw,QB,Pittsburgh Steelers,1
1977,Walter Payton,RB,Chicago Bears,1
1976,Bert Jones,QB,Baltimore Colts,1
1975,Fran Tarkenton,QB,Minnesota Vikings,1
1974,Ken Stabler,QB,Oakland Raiders,1
1973,O.J. Simpson,RB,Buffalo Bills,1
1972,Larry Brown,RB,Washington Redskins,1
1971,Alan Page,RDT,Minnesota Vikings,1
1970,John Brodie,QB,San Francisco 49ers,1
1969,Roman Gabriel,QB,Los Angeles Rams,1
1968,Earl Morrall,QB,Baltimore Colts,1
1967,Johnny Unitas,QB,Baltimore Colts,1
1966,Bart Starr,QB,Green Bay Packers,1
1965,Jim Brown,FB,Cleveland Browns,1
1964,Johnny Unitas,QB,Baltimore Colts,1
1963,Y.A. Tittle,QB,New York Giants,1
1962,Jim Taylor,FB,Green Bay Packers,1
1961,Paul Hornung,HB,Green Bay Packers,1
1959,Johnny Unitas,QB,Baltimore Colts,1
1958,Jim Brown,FB,Cleveland Browns,1
1957,Jim Brown,FB,Cleveland Browns,1
