rank,player_name,team,position,games,win_pct_disp,td_int_disp,passing_tds,passer_rating,rushing_tds,total_tds,pass_ypg,rushing_yards,rush_ypg,total_yards,prob_disp,headshot_url,headshot_url,team_logo_url
1,Drake Maye,NE,QB,15.0,80%,3.12,25,108.5,4,29.0,263.1,387,25.8,4336,100%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NE.png
2,Josh Allen,BUF,QB,15.0,73%,2.5,25,103.3,12,37.0,227.1,552,36.8,3958,100%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BUF.png
3,Matthew Stafford,LA,QB,15.0,73%,8.0,40,112.1,0,40.0,278.6,-2,-0.1,4177,97%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LA.png
4,Jordan Love,GB,QB,15.0,60%,3.83,23,101.2,0,23.0,225.4,199,13.3,3580,82%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/GB.png
5,Jonathan Taylor,IND,RB,15.0,53%,0.0,0,0.0,17,19.0,0.0,1489,99.3,1840,53%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/IND.png
6,James Cook,BUF,RB,15.0,73%,0.0,0,0.0,12,14.0,0.0,1532,102.1,1820,36%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/anjbznqb9i21wzcgrtbs",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BUF.png
7,Bo Nix,DEN,QB,15.0,80%,2.4,24,89.0,4,28.0,240.5,265,17.7,3873,20%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DEN.png
8,Jalen Hurts,PHI,QB,15.0,67%,4.0,24,100.2,8,32.0,207.6,416,27.7,3530,9%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/c47i9v6gmokkun9cat9s",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/PHI.png
9,Christian McCaffrey,SF,RB,15.0,73%,0.0,0,0.0,9,16.0,0.0,1039,69.3,1888,7%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/resjdwihunsqckohcorj",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SF.png
10,Sam Darnold,SEA,QB,15.0,80%,1.85,24,100.6,0,24.0,246.9,84,5.6,3787,6%,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild","https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SEA.png
