season,player_id,player_display_name,position,team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,pacr,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance,fantasy_points,fantasy_points_ppr,games,headshot_url,win_pct,player_name_key,td_int_ratio,is_qb,is_rb,is_wr,pass_ypg,rush_ypg,recv_ypg,win_pct_scaled,games_weighted_win,efficiency_win,mvp_probability,adjusted_pred,team_logo_url,total_yards,total_tds,passer_rating
2025,00-0039851,Drake Maye,QB,NE,276,386,3412,23,6,40,-178,5,2,3387,1367,158,115.91109524889993,141.0868344197009,0,14.221298110688696,81,319,2,1,0,28,2.66235708865151,1,1,1,2,0,0,0,-8,10,0,-1.3293322010431439,0,0.0,0.022222222222222223,-0.0226628895184136,0.017469310670443813,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,258.58000000000004,259.58000000000004,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oyap81gtzcvnfmripis1",0.8461538461538461,drake maye,3.8333333333333335,1,0,0,262.46153846153845,24.53846153846154,0.15384615384615385,8.461538461538462,11.0,32.43589743589744,0.999884094186377,0.999884094186377,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/NE.png,3733.0,25.0,111.9
2025,00-0034857,Josh Allen,QB,BUF,265,378,3083,22,10,31,-200,0,0,2717,1662,150,79.7819674217305,37.14379777883204,1,18.518153979769927,87,487,12,5,2,41,34.42701367127337,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,4,0,0,0,3,29,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,310.02,310.02,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/servs1fpsynfxep4rz2z",0.6923076923076923,josh allen,2.2,1,0,0,237.15384615384616,37.46153846153846,0.0,6.923076923076923,9.0,15.230769230769232,0.9962521442556798,0.9962521442556798,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/BUF.png,3570.0,34.0,102.9
2025,00-0036264,Jordan Love,QB,GB,259,386,3028,22,4,18,-140,2,2,3343,1381,145,111.04761398093775,71.09178670113798,2,14.68680621531603,42,163,0,2,0,12,6.776319302948801,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,217.42,217.42,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uneiwen9drvci9ahuebp",0.6923076923076923,jordan love,5.5,1,0,0,232.92307692307693,12.538461538461538,0.0,6.923076923076923,9.0,38.07692307692308,0.985047996578789,0.985047996578789,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/GB.png,3191.0,22.0,105.4
2025,00-0026498,Matthew Stafford,QB,LA,288,432,3354,35,4,17,-114,2,2,3608,1313,173,103.03557979156889,37.49338584240659,0,12.58383105456714,25,-10,0,3,1,3,-30.222097535879584,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,12,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,259.16,259.16,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",0.7692307692307693,matthew stafford,8.75,1,0,0,258.0,-0.7692307692307693,0.0,7.6923076923076925,10.0,67.3076923076923,0.8808883369815631,0.8808883369815631,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/LA.png,3344.0,35.0,113.1
2025,00-0036223,Jonathan Taylor,RB,IND,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,247,1356,16,1,1,71,24.108999541322035,1,35,40,304,2,1,0,-44,348,12,9.066665129517904,0,-32.19621212121212,1.3616739748942197,-0.21705929499683005,1.8905694558435484,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,15,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,274.0,309.0,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",0.6153846153846154,jonathan taylor,0.0,0,1,0,0.0,104.3076923076923,23.384615384615383,6.153846153846154,8.0,0.0,0.47464712770729955,0.40345005855120464,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/IND.png,1660.0,18.0,0.0
2025,00-0033873,Patrick Mahomes,QB,KC,299,474,3398,22,10,29,-172,3,0,3836,1803,165,71.81541827920014,7.24185355158145,2,12.513594318755722,62,407,4,0,0,27,26.81593892222736,0,1,1,-10,0,0,0,-8,-2,0,-2.5388513491488993,0,0.0,0.034482758620689655,-0.02768166089965398,0.0323469753012767,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,25,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,271.62,272.62,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iireqbn32cpg9fn4sfy7",0.46153846153846156,patrick mahomes,2.2,1,0,0,261.38461538461536,31.307692307692307,-0.7692307692307693,4.615384615384616,6.0,10.153846153846155,0.1185349123869805,0.1185349123869805,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/KC.png,3795.0,26.0,91.2
2025,00-0035710,Daniel Jones,QB,IND,261,384,3101,19,8,22,-158,6,3,3073,1351,150,65.25551499758664,33.84823236658388,1,13.69881489980824,45,164,5,2,0,21,16.17640766904544,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,226.44,226.44,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nhuiypfjzpkisxllinyv",0.6153846153846154,daniel jones,2.375,1,0,0,238.53846153846155,12.615384615384615,0.0,6.153846153846154,8.0,14.615384615384617,0.10279533882504167,0.10279533882504167,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/IND.png,3265.0,24.0,100.2
2025,00-0034869,Sam Darnold,QB,SEA,241,354,3162,22,11,17,-114,6,4,3034,1299,141,75.59213313502383,96.09848376663194,0,14.267975537676033,19,72,0,1,1,7,-4.779871564988286,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,189.68,189.68,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/s5t8m6bhedjwwtfw3ild",0.7692307692307693,sam darnold,2.0,1,0,0,243.23076923076923,5.538461538461538,0.0,7.6923076923076925,10.0,15.384615384615385,0.07663998213761256,0.07663998213761256,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/SEA.png,3234.0,22.0,103.8
2025,00-0039732,Bo Nix,QB,DEN,297,470,2954,19,9,16,-87,2,1,3482,1603,149,45.26410318155423,-15.266672319023135,4,12.005053632234361,55,244,4,1,0,16,6.603582979963602,0,0,1,0,0,0,0,2,0,0,-0.4586076693958603,0,0.0,0.027777777777777776,0.006269592476489028,0.04605538140020898,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,23,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,230.56,230.56,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/igirshmrr6lqtxcpxsea",0.8461538461538461,bo nix,2.111111111111111,1,0,0,227.23076923076923,18.76923076923077,0.0,8.461538461538462,11.0,17.863247863247864,0.06088839878345448,0.06088839878345448,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DEN.png,3198.0,23.0,86.4
2025,00-0033077,Dak Prescott,QB,DAL,334,484,3637,26,10,22,-155,2,1,3806,1600,179,88.86886340053425,45.89506590722812,3,13.10250127754387,44,138,2,3,0,14,-3.9947157204220254,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,259.28,259.28,13.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/blixemm3s9sa4gmqk5yn",0.46153846153846156,dak prescott,2.6,1,0,0,279.7692307692308,10.615384615384615,0.0,4.615384615384616,6.0,12.000000000000002,0.029488371404658768,0.029488371404658768,https://jeffwarr4.github.io/nfl-awards-predictor/assets/logos/DAL.png,3775.0,28.0,100.2
