feature,importance_mean,importance_std
td_int_ratio,0.32381173692408177,0.012455063458914728
games,0.032608687850359995,0.015347520146921713
win_pct,0.006439625038579966,0.0008591875158547226
rushing_epa,0.002679423776745693,0.00029920614255270385
passing_epa,0.0021852412773379127,0.00014433808395419254
attempts,0.0008313534930125321,2.4591373271531657e-05
pass_ypg,0.0008214841983620325,1.9865422302585903e-05
passing_cpoe,0.00019469426719583848,0.0002466958226963449
passing_yards,0.00011502214310840086,6.687665590148293e-06
receiving_tds,4.898758981054518e-05,2.7578622199395697e-05
passing_interceptions,4.4322105066685326e-05,3.3136040712882055e-06
games_weighted_win,1.3278687347895168e-05,1.6894225990225226e-05
receiving_yards,0.0,0.0
receiving_epa,0.0,0.0
recv_ypg,0.0,0.0
passing_tds,0.0,0.0
completions,0.0,0.0
is_qb,0.0,0.0
is_rb,0.0,0.0
is_wr,0.0,0.0
win_pct_scaled,0.0,0.0
efficiency_win,0.0,0.0
rushing_tds,-3.140230116067677e-05,6.482293361454418e-06
rushing_yards,-0.00011286884245750305,2.332742371941459e-06
rush_ypg,-0.0001254297629217027,1.9745928734148667e-05
